DATE,CHLCPIALLMINMEI
1970-01-01,0.000815818080956211
1970-02-01,0.000857502216479521
1970-03-01,0.000887276598996172
1970-04-01,0.000908544015079493
1970-05-01,0.000928110037876149
1970-06-01,0.000945974667386139
1970-07-01,0.000964689993539462
1970-08-01,0.000989360196196114
1970-09-01,0.00101573179213943
1970-10-01,0.00102423875857276
1970-11-01,0.00103104433171942
1970-12-01,0.00103104433171942
1971-01-01,0.00104550617465608
1971-02-01,0.00105316244444608
1971-03-01,0.00106592289409607
1971-04-01,0.00109229449003939
1971-05-01,0.00112291956919937
1971-06-01,0.00114503768192603
1971-07-01,0.00114844046849936
1971-08-01,0.00116120091814935
1971-09-01,0.00117311067115601
1971-10-01,0.001193527390596
1971-11-01,0.00122500316639932
1971-12-01,0.00125903103213263
1972-01-01,0.0013049686508726
1972-02-01,0.00138918761856256
1972-03-01,0.00142746896751254
1972-04-01,0.00150828514862916
1972-05-01,0.00157208739687912
1972-06-01,0.0016052645659691
1972-07-01,0.00167672308400906
1972-08-01,0.00205783518022218
1972-09-01,0.00251465927769193
1972-10-01,0.00289832346383505
1972-11-01,0.00306080652271163
1972-12-01,0.00331601551571148
1973-01-01,0.00365714486968796
1973-02-01,0.00380856887220121
1973-03-01,0.00404421184240441
1973-04-01,0.00445679971442085
1973-05-01,0.00532195820069036
1973-06-01,0.00615479021451323
1973-07-01,0.00709566070203937
1973-08-01,0.00830620202550203
1973-09-01,0.00970900079035791
1973-10-01,0.0182108630438265
1973-11-01,0.0192487129486926
1973-12-01,0.0201623611436321
1974-01-01,0.0230087921122238
1974-02-01,0.0286404038910874
1974-03-01,0.0327092859361484
1974-04-01,0.037717337075449
1974-05-01,0.0409891163657071
1974-06-01,0.0495190516084057
1974-07-01,0.0552187191187359
1974-08-01,0.0612348457803858
1974-09-01,0.0690731646520548
1974-10-01,0.0821228511607808
1974-11-01,0.0900955801020964
1974-12-01,0.0959492237048698
1975-01-01,0.109314518668272
1975-02-01,0.127390971642452
1975-03-01,0.154352951056244
1975-04-01,0.186419110330033
1975-05-01,0.216182433790319
1975-06-01,0.258918030364789
1975-07-01,0.283001252337542
1975-08-01,0.308206543182851
1975-09-01,0.336646182666112
1975-10-01,0.364960769742803
1975-11-01,0.394819371227143
1975-12-01,0.422846422838387
1976-01-01,0.467126884517149
1976-02-01,0.51407428017276
1976-03-01,0.583704651126198
1976-04-01,0.653161479964396
1976-05-01,0.717447774604416
1976-06-01,0.805969565916347
1976-07-01,0.877461261125397
1976-08-01,0.92540737464028
1976-09-01,0.995900351990058
1976-10-01,1.06276766024595
1976-11-01,1.10337311242551
1976-12-01,1.15995379687023
1977-01-01,1.22864329733614
1977-02-01,1.30022176360281
1977-03-01,1.3795807013694
1977-04-01,1.44442250091752
1977-05-01,1.49965057769933
1977-06-01,1.54959242553947
1977-07-01,1.61009737359988
1977-08-01,1.6648269421487
1977-09-01,1.72692524502207
1977-10-01,1.79945223804605
1977-11-01,1.83902154171404
1977-12-01,1.89642825259942
1978-01-01,1.93089252571077
1978-02-01,1.97742818419101
1978-03-01,2.03530447962351
1978-04-01,2.08844069335937
1978-05-01,2.13256802964233
1978-06-01,2.175649009054
1978-07-01,2.23041600825512
1978-08-01,2.29295582268638
1978-09-01,2.35876656571125
1978-10-01,2.40244303277325
1978-11-01,2.43463339375696
1978-12-01,2.47143027706433
1979-01-01,2.52654265910265
1979-02-01,2.56756835542402
1979-03-01,2.63973465307123
1979-04-01,2.70819276405016
1979-05-01,2.77640417300251
1979-06-01,2.84609919690084
1979-07-01,2.94891013973084
1979-08-01,3.08829933683086
1979-09-01,3.20939940679586
1979-10-01,3.28749591074375
1979-11-01,3.35793189141842
1979-12-01,3.43281616484108
1980-01-01,3.50597097198785
1980-02-01,3.56998079021879
1980-03-01,3.6750163047711
1980-04-01,3.76818970532877
1980-05-01,3.85543119819248
1980-06-01,3.92907940939238
1980-07-01,4.00865952828624
1980-08-01,4.09688953064951
1980-09-01,4.18413102351322
1980-10-01,4.30646715570099
1980-11-01,4.41965829897293
1980-12-01,4.50516947486411
1981-01-01,4.57857098403744
1981-02-01,4.59265852045103
1981-03-01,4.62948262605098
1981-04-01,4.68607862303527
1981-05-01,4.74811142226711
1981-06-01,4.75255971501509
1981-07-01,4.7819699993684
1981-08-01,4.84029546262858
1981-09-01,4.8850284949216
1981-10-01,4.90059879558452
1981-11-01,4.9094953810805
1981-12-01,4.93495162743559
1982-01-01,4.96930445928666
1982-02-01,4.93000822924118
1982-03-01,4.95175713962463
1982-04-01,4.94681459212687
1982-05-01,4.92185260052155
1982-06-01,4.95447596609672
1982-07-01,5.05259191415216
1982-08-01,5.21570618993809
1982-09-01,5.43937050070652
1982-10-01,5.70035317182468
1982-11-01,5.88966465074204
1982-12-01,5.95812361241761
1983-01-01,6.06291242494335
1983-02-01,6.07007954416343
1983-03-01,6.18500100440791
1983-04-01,6.36887483038109
1983-05-01,6.45661057799458
1983-06-01,6.5571977997989
1983-07-01,6.68274701320854
1983-08-01,6.86242009915694
1983-09-01,7.02256884644421
1983-10-01,7.19260268872701
1983-11-01,7.28799981031036
1983-12-01,7.33396890482614
1984-01-01,7.33915985574376
1984-02-01,7.32754784656226
1984-03-01,7.51339528874797
1984-04-01,7.625598773217
1984-05-01,7.71704270749878
1984-06-01,7.81515099928443
1984-07-01,7.88411612546278
1984-08-01,7.90413131608712
1984-09-01,8.13445828296614
1984-10-01,8.80051802543674
1984-11-01,8.90282790794381
1984-12-01,9.02368297727554
1985-01-01,9.30691391770678
