DATE,DDOE01COA086NWDB
1996-01-01,36.4482
1997-01-01,42.894
1998-01-01,50.0544
1999-01-01,54.68600000000001
2000-01-01,59.4688
2001-01-01,64.018
2002-01-01,68.4984
2003-01-01,72.9376
2004-01-01,76.9507
2005-01-01,80.6753
2006-01-01,84.2899
2007-01-01,89.0864
2008-01-01,95.9307
2009-01-01,97.8411
2010-01-01,100.961
2011-01-01,104.713
2012-01-01,107.26899999999999
2013-01-01,109.345
2014-01-01,113.344
2015-01-01,121.01299999999999
2016-01-01,127.96700000000001
2017-01-01,133.19
