DATE,DEXBZUS
1995-01-06,0.84340000000000000000
1995-01-13,0.84680000000000000000
1995-01-20,0.84700000000000000000
1995-01-27,0.84820000000000000000
1995-02-03,0.84140000000000000000
1995-02-10,0.83480000000000000000
1995-02-17,0.83920000000000000000
1995-02-24,0.84620000000000000000
1995-03-03,0.85300000000000000000
1995-03-10,0.88260000000000000000
1995-03-17,0.88880000000000000000
1995-03-24,0.90680000000000000000
1995-03-31,0.90560000000000000000
1995-04-07,0.89900000000000000000
1995-04-14,0.90440000000000000000
1995-04-21,0.91000000000000000000
1995-04-28,0.91620000000000000000
1995-05-05,0.90800000000000000000
1995-05-12,0.89620000000000000000
1995-05-19,0.89000000000000000000
1995-05-26,0.89180000000000000000
1995-06-02,0.90675000000000000000
1995-06-09,0.91020000000000000000
1995-06-16,0.91180000000000000000
1995-06-23,0.91680000000000000000
1995-06-30,0.91920000000000000000
1995-07-07,0.92325000000000000000
1995-07-14,0.92498000000000000000
1995-07-21,0.92948000000000000000
1995-07-28,0.93518000000000000000
1995-08-04,0.93544000000000000000
1995-08-11,0.93540000000000000000
1995-08-18,0.94154000000000000000
1995-08-25,0.94492000000000000000
1995-09-01,0.94948000000000000000
1995-09-08,0.94902500000000000000
1995-09-15,0.95174000000000000000
1995-09-22,0.95284000000000000000
1995-09-29,0.95394000000000000000
1995-10-06,0.95722000000000000000
1995-10-13,0.95822500000000000000
1995-10-20,0.95910000000000000000
1995-10-27,0.96140000000000000000
1995-11-03,0.96208000000000000000
1995-11-10,0.96145000000000000000
1995-11-17,0.96236000000000000000
1995-11-24,0.96407500000000000000
1995-12-01,0.96502000000000000000
1995-12-08,0.96640000000000000000
1995-12-15,0.96676000000000000000
1995-12-22,0.96912500000000000000
1995-12-29,0.97020000000000000000
1996-01-05,0.97240000000000000000
1996-01-12,0.97228000000000000000
1996-01-19,0.97427500000000000000
1996-01-26,0.97648000000000000000
1996-02-02,0.97816000000000000000
1996-02-09,0.97824000000000000000
1996-02-16,0.98088000000000000000
1996-02-23,0.98307500000000000000
1996-03-01,0.98390000000000000000
1996-03-08,0.98370000000000000000
1996-03-15,0.98580000000000000000
1996-03-22,0.98726000000000000000
1996-03-29,0.98778000000000000000
1996-04-05,0.98712000000000000000
1996-04-12,0.98944000000000000000
1996-04-19,0.98972000000000000000
1996-04-26,0.99182000000000000000
1996-05-03,0.99224000000000000000
1996-05-10,0.99316000000000000000
1996-05-17,0.99580000000000000000
1996-05-24,0.99606000000000000000
1996-05-31,0.99727500000000000000
1996-06-07,0.99838000000000000000
1996-06-14,1.00026000000000000000
1996-06-21,1.00228000000000000000
1996-06-28,1.00440000000000000000
1996-07-05,1.00502500000000000000
1996-07-12,1.00558000000000000000
1996-07-19,1.00718000000000000000
1996-07-26,1.00722000000000000000
1996-08-02,1.01038000000000000000
1996-08-09,1.01556000000000000000
1996-08-16,1.01338000000000000000
1996-08-23,1.01432000000000000000
1996-08-30,1.01736000000000000000
1996-09-06,1.01757500000000000000
1996-09-13,1.01948000000000000000
1996-09-20,1.01940000000000000000
1996-09-27,1.02054000000000000000
1996-10-04,1.02158000000000000000
1996-10-11,1.02494000000000000000
1996-10-18,1.02535000000000000000
1996-10-25,1.02656000000000000000
1996-11-01,1.02796000000000000000
1996-11-08,1.02874000000000000000
1996-11-15,1.03100000000000000000
1996-11-22,1.03048000000000000000
1996-11-29,1.03230000000000000000
1996-12-06,1.03336000000000000000
1996-12-13,1.03678000000000000000
1996-12-20,1.03904000000000000000
1996-12-27,1.03910000000000000000
1997-01-03,1.03930000000000000000
1997-01-10,1.04056000000000000000
1997-01-17,1.04264000000000000000
1997-01-24,1.04347500000000000000
1997-01-31,1.04496000000000000000
1997-02-07,1.04654000000000000000
1997-02-14,1.04792000000000000000
