DATE,DDOE01UYA086NWDB
1996-01-01,32.4141
1997-01-01,37.330999999999996
1998-01-01,40.5533
1999-01-01,42.2445
2000-01-01,44.378
2001-01-01,45.9704
2002-01-01,57.9139
2003-01-01,63.7938
2004-01-01,68.6358
2005-01-01,71.9979
2006-01-01,76.5916
2007-01-01,83.10700000000001
2008-01-01,90.7528
2009-01-01,96.1069
2010-01-01,102.766
2011-01-01,111.604
2012-01-01,119.949
2013-01-01,130.174
2014-01-01,140.923
2015-01-01,154.221
2016-01-01,166.717
2017-01-01,177.642
