DATE,DEXVZUS
2017-08-03,9.9750
2017-08-04,9.9750
2017-08-07,9.9750
2017-08-08,9.9750
2017-08-09,9.9750
2017-08-10,9.9750
2017-08-11,9.9750
2017-08-14,9.9750
2017-08-15,9.9750
2017-08-16,9.9750
2017-08-17,9.9750
2017-08-18,9.9750
2017-08-21,9.9750
2017-08-22,9.9750
2017-08-23,9.9750
2017-08-24,9.9750
2017-08-25,9.9750
2017-08-28,9.9750
2017-08-29,9.9750
2017-08-30,9.9750
2017-08-31,9.9750
2017-09-01,9.9750
2017-09-04,.
2017-09-05,9.9750
2017-09-06,9.9750
2017-09-07,9.9750
2017-09-08,9.9750
2017-09-11,9.9750
2017-09-12,9.9750
2017-09-13,9.9750
2017-09-14,9.9750
2017-09-15,9.9750
2017-09-18,9.9750
2017-09-19,9.9750
2017-09-20,9.9750
2017-09-21,9.9750
2017-09-22,9.9750
2017-09-25,9.9750
2017-09-26,9.9750
2017-09-27,9.9750
2017-09-28,9.9750
2017-09-29,9.9750
2017-10-02,9.9750
2017-10-03,9.9750
2017-10-04,9.9750
2017-10-05,9.9750
2017-10-06,9.9750
2017-10-09,.
2017-10-10,9.9750
2017-10-11,9.9750
2017-10-12,9.9750
2017-10-13,9.9750
2017-10-16,9.9750
2017-10-17,9.9750
2017-10-18,9.9750
2017-10-19,9.9750
2017-10-20,9.9750
2017-10-23,9.9750
2017-10-24,9.9750
2017-10-25,9.9750
2017-10-26,9.9750
2017-10-27,9.9750
2017-10-30,9.9750
2017-10-31,9.9750
2017-11-01,9.9750
2017-11-02,9.9750
2017-11-03,9.9750
2017-11-06,9.9750
2017-11-07,9.9750
2017-11-08,9.9750
2017-11-09,9.9750
2017-11-10,.
2017-11-13,9.9750
2017-11-14,9.9750
2017-11-15,9.9750
2017-11-16,9.9750
2017-11-17,9.9750
2017-11-20,9.9750
2017-11-21,9.9750
2017-11-22,9.9750
2017-11-23,.
2017-11-24,9.9750
2017-11-27,9.9750
2017-11-28,9.9750
2017-11-29,9.9750
2017-11-30,9.9750
2017-12-01,9.9750
2017-12-04,9.9750
2017-12-05,9.9750
2017-12-06,9.9750
2017-12-07,9.9750
2017-12-08,9.9750
2017-12-11,9.9750
2017-12-12,9.9750
2017-12-13,9.9750
2017-12-14,9.9750
2017-12-15,9.9750
2017-12-18,9.9750
2017-12-19,9.9750
2017-12-20,9.9750
2017-12-21,9.9750
2017-12-22,9.9750
2017-12-25,.
2017-12-26,9.9750
2017-12-27,9.9750
2017-12-28,9.9750
2017-12-29,9.9750
2018-01-01,.
2018-01-02,9.9750
2018-01-03,9.9750
2018-01-04,9.9750
2018-01-05,9.9750
2018-01-08,9.9750
2018-01-09,9.9750
2018-01-10,9.9750
2018-01-11,9.9750
2018-01-12,9.9750
2018-01-15,.
2018-01-16,9.9750
2018-01-17,9.9750
2018-01-18,9.9750
2018-01-19,9.9750
2018-01-22,9.9750
2018-01-23,9.9750
2018-01-24,9.9750
2018-01-25,9.9750
2018-01-26,9.9750
2018-01-29,9.9750
2018-01-30,9.9750
2018-01-31,9.9750
2018-02-01,9.9750
2018-02-02,9.9750
2018-02-05,3336.6375
2018-02-06,3336.6375
2018-02-07,24937.5000
2018-02-08,24937.5000
2018-02-09,24937.5000
2018-02-12,24937.5000
2018-02-13,24937.5000
2018-02-14,24937.5000
2018-02-15,24937.5000
2018-02-16,24937.5000
2018-02-19,.
2018-02-20,24937.5000
2018-02-21,24937.5000
2018-02-22,28927.5000
2018-02-23,28927.5000
2018-02-26,28927.5
2018-02-27,28927.5
2018-02-28,28927.5
2018-03-01,35191.8
2018-03-02,35191.8
2018-03-05,35191.8
2018-03-06,35191.8
2018-03-07,35191.8
2018-03-08,39900.0
2018-03-09,39900.0
2018-03-12,39900.0
2018-03-13,36558.375
2018-03-14,36558.375
2018-03-15,36558.375
2018-03-16,36558.375
2018-03-19,43870.05
2018-03-20,43870.05
2018-03-21,43870.05
2018-03-22,43870.05
2018-03-23,43870.05
2018-03-26,49353.8062
2018-03-27,49353.8062
2018-03-28,49353.8
2018-03-29,49353.8
2018-03-30,49353.8
2018-04-02,49353.8
2018-04-03,49353.8062
2018-04-04,49353.8062
2018-04-05,49353.8062
2018-04-06,49353.8062
2018-04-09,49376.25
2018-04-10,49376.25
2018-04-11,49376.25
2018-04-12,49376.25
2018-04-13,49376.25
2018-04-16,59351.25
2018-04-17,59351.25
2018-04-18,59351.25
2018-04-19,59351.25
2018-04-20,59351.25
2018-04-23,66770.1563
2018-04-24,66770.1563
2018-04-25,66770.1563
2018-04-26,66770.1563
2018-04-27,66770.1563
2018-04-30,68827.5
2018-05-01,68827.5
2018-05-02,68827.5
2018-05-03,68827.5
2018-05-04,68827.5
2018-05-07,69825.0
2018-05-08,69825.0
2018-05-09,69825.0
2018-05-10,69825.0
2018-05-11,69825.0
2018-05-14,69825.0
2018-05-15,69825.0
2018-05-16,69825.0
