DATE,DDOI11VEA156NWDB
1996-01-01,0.0056700000000000006
1997-01-01,0.019803
1998-01-01,0.018614
1999-01-01,0.017351
2000-01-01,0.014512
2001-01-01,0.015459
2002-01-01,0.020454
2003-01-01,0.24874200000000002
2004-01-01,0.127164
2005-01-01,0.101711
2006-01-01,0.089929
2007-01-01,0.065548
2008-01-01,0.043361000000000004
2009-01-01,0.040026
2010-01-01,0.036369
2011-01-01,0.043604000000000004
2012-01-01,0.030948000000000003
2013-01-01,0.032345
2014-01-01,0.026536
