DATE,DDOE01VEA086NWDB
1996-01-01,5.94152
1997-01-01,8.17608
1998-01-01,10.6212
1999-01-01,12.7482
2000-01-01,14.460999999999999
2001-01-01,16.2371
2002-01-01,21.3055
2003-01-01,27.0759
2004-01-01,32.2705
2005-01-01,36.904
2006-01-01,43.1856
2007-01-01,52.8588
2008-01-01,69.1921
2009-01-01,86.5298
2010-01-01,110.052
2011-01-01,140.393
2012-01-01,168.567
2013-01-01,263.29
2014-01-01,443.749
2015-01-01,1246.36
2016-01-01,4665.79
