DATE,DDOE01BOA086NWDB
1996-01-01,53.1752
1997-01-01,56.7529
1998-01-01,59.2505
1999-01-01,61.1068
2000-01-01,63.1909
2001-01-01,63.7732
2002-01-01,65.3342
2003-01-01,67.9077
2004-01-01,71.0466
2005-01-01,74.52600000000001
2006-01-01,78.2107
2007-01-01,87.3866
2008-01-01,97.7383
2009-01-01,97.9963
2010-01-01,105.036
2011-01-01,112.291
2012-01-01,117.381
2013-01-01,124.994
2014-01-01,131.489
2015-01-01,135.374
2016-01-01,140.779
2017-01-01,144.607
