DATE,DDOE01ECA086NWDB
1997-01-01,12.3812
1998-01-01,17.7546
1999-01-01,28.5333
2000-01-01,54.4976
2001-01-01,66.7261
2002-01-01,72.9708
2003-01-01,77.3967
2004-01-01,78.8864
2005-01-01,81.2702
2006-01-01,83.6022
2007-01-01,86.3775
2008-01-01,94.0052
2009-01-01,98.0584
2010-01-01,101.322
2011-01-01,106.803
2012-01-01,111.25
2013-01-01,114.25399999999999
2014-01-01,118.444
2015-01-01,122.448
2016-01-01,123.819
2017-01-01,123.571
